date,event_name,type,impact,location,start_time,end_time
2024-08-03,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-08-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-04,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-08-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-10,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-08-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-11,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-08-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-17,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-08-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-18,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-08-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-24,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-08-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-25,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-08-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-08-31,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-08-31,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-01,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-09-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-07,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-09-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-08,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-09-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-14,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-09-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-15,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-09-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-21,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-09-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-22,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-09-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-28,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-09-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-09-29,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-09-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-05,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-10-05,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-06,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-10-06,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-12,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-10-12,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-13,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-10-13,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-19,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-10-19,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-20,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-10-20,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-26,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-10-26,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-10-27,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-10-27,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-02,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-11-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-03,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-11-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-09,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-11-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-10,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-11-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-16,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-11-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-17,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-11-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-23,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-11-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-24,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-11-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-11-30,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-11-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-01,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-12-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-07,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-12-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-08,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-12-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-14,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-12-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-15,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-12-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-21,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-12-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-22,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-12-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-28,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-12-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-12-29,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-12-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
